"","census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","Black_per_arrest","White_per_arrest","total_per_arrest","Total_arest_over_total_pop","Black_arest_over_Black_pop","White_arest_over_white_pop","SIR_arrests","SIR_B","SIR_W"
"1",10100,2010,965,693,1658,37,129,3153,822,2116,0.260704091,0.671106882,58.2051745974308,41.8008564019058,100,52.58317211633,45.6027597939606,84.2963143169931,15.3763580834575,4.02663555991805,38.3760678970223
"2",10100,2011,854,754,1614,37,129,2749,623,1970,0.226627865,0.716624227,52.9149371166594,46.7195341056936,100,58.7101233130843,43.3480533983047,121.007863906275,17.1657400622227,3.82744438614565,54.9939393750557
"3",10100,2012,839,772,1617,37,129,2877,561,2263,0.194994786,0.786583246,51.8891843423412,47.7459649990724,100,56.2024260540127,37.0730414033847,137.586882908572,16.4332873691039,3.27355659099906,62.4792834369542
"4",10100,2013,752,701,1454,37,129,2462,636,1795,0.258326564,0.729082047,51.7227150814937,48.2153909634826,100,59.0552780147029,41.8918166118879,110.202798302154,17.2645895772702,3.6987217094113,50.0907096674723
"5",10100,2014,629,539,1169,37,129,2212,566,1627,0.255877034,0.735533454,53.810623556582,46.1123941493457,100,52.8457122191583,38.6577346198759,95.2128599187423,15.447244174921,3.41302370843193,43.2399303500495
"6",10100,2015,571,574,1153,37,129,2161,845,1278,0.391022675,0.591392874,49.5273610267973,49.7875292689272,100,53.3524593956781,44.6756904780534,67.9209560998698,15.5949009220822,3.94382030776937,30.9257119296499
"7",10100,2016,696,615,1315,37,129,2245,882,1259,0.392873051,0.560801782,52.9313360200745,46.7721085848985,100,58.5720012471605,55.2775792232547,69.7199863961002,17.1214075915824,4.87967443270773,31.7518637526169
"8",10100,2017,657,554,1215,37,129,2251,906,1225,0.402487783,0.544202577,54.0778536745947,45.6011850876471,100,53.9736129003598,53.6282752428373,61.1411543979693,15.7772878399613,4.73399906346418,27.8486187315424
"9",10100,2018,437,477,920,37,129,2267,943,1182,0.41596824,0.521393913,47.5057059015324,51.8530594500598,100,40.5804772617,36.9681076051096,50.5778814547768,11.8623805807212,3.26325839021351,23.0416961423538
"10",10200,2010,177,147,325,37,129,3290,1386,1897,0.421276596,0.576595745,54.4755459858505,45.2476161181175,100,9.87811920610316,9.33003004585947,10.6052954332299,2.88866489672784,0.823788433402733,4.83874700601777
"11",10200,2011,272,118,390,37,129,3440,1609,1815,0.467732558,0.527616279,69.751345808767,30.2742886439374,100,11.336879741868,14.9854002534296,7.33329190230564,3.31537529885077,1.32310069380861,3.34736405976006
"12",10200,2012,221,88,309,37,129,3530,1598,1908,0.452691218,0.540509915,71.5302491103203,28.5021028793271,100,8.75329310784397,11.5822021906609,5.50653901508041,2.5598806641625,1.02264482032753,2.51347403049176
"13",10200,2013,181,135,316,37,129,3587,1590,1968,0.443267354,0.548647895,57.291996203733,42.7396393546346,100,8.80934459591313,9.19668716020528,8.4900320734545,2.57630555048042,0.812027107710626,3.87524271255326
"14",10200,2014,212,125,337,37,129,3699,1678,1844,0.453636118,0.498513112,62.9190151290418,37.1106496588549,100,9.11032413289719,11.4961227699149,7.44890054227996,2.66439097397265,1.01503002509286,3.40052290740378
"15",10200,2015,163,88,252,37,129,3703,1678,1866,0.453146098,0.503915744,64.6965489884966,34.9464498214994,100,6.80510923280495,8.73479449118483,5.24402598176509,1.99021311510917,0.771227241459847,2.39396812681226
"16",10200,2016,212,148,361,37,129,3644,1991,1438,0.546377607,0.394621295,58.7371919135973,41.0135696482969,100,9.90642408276392,14.7416730408177,7.43307719351112,2.89718371488915,1.30143420257752,3.3947193672033
"17",10200,2017,167,131,298,37,129,3603,1995,1331,0.553705246,0.369414377,56.0550150956055,43.9785306943978,100,8.27065582415143,12.5460145744121,6.5660869129367,2.41877369882781,1.10754715221536,2.99877454471497
"18",10200,2018,203,120,324,37,129,3503,1958,1329,0.558949472,0.379389095,62.6658438753471,37.0564640543042,100,9.24895092917702,15.2734933413588,6.12838976558909,2.7048179862342,1.34832452040356,2.7987569980747
"19",10300,2010,253,103,358,37,129,5104,2345,2622,0.459443574,0.513714734,70.6785814018431,28.7908405473331,100,7.0139691620462,9.64875481484306,4.39213679587224,2.05172558517744,0.852027243520456,2.00658797504419
"20",10300,2011,375,156,535,37,129,5040,2199,2699,0.436309524,0.535515873,70.0990469071202,29.1721173612409,100,10.6148687526041,13.893520062243,7.09381110454277,3.10503856273373,1.2268690295197,3.24046269856904
"21",10300,2012,391,196,587,37,129,4821,2246,2427,0.465878448,0.503422526,66.6155680463294,33.4014648271163,100,12.1756445624443,16.1097606196696,8.72623658786341,3.56150265627942,1.42252817768614,3.98632639616129
"22",10300,2013,470,140,612,37,129,5419,2204,3050,0.406717106,0.562834471,76.8011762783859,22.888416925339,100,11.2933882009928,15.4093308416118,6.35179892019418,3.30364712679388,1.3607683225556,2.90152388292097
"23",10300,2014,346,115,461,37,129,4882,2175,2620,0.445514134,0.536665301,75.0596399913251,24.9620472782477,100,9.44265787263677,13.2056028395863,5.28711323617305,2.76209585119274,1.16611221213651,2.41510647503025
"24",10300,2015,325,150,477,37,129,5161,2398,2669,0.464638636,0.51714784,68.1408509746384,31.4609096625445,100,9.24221580670787,12.1763890449964,6.25495183687086,2.70354860694292,1.07523405365791,2.85775246435123
"25",10300,2016,397,131,536,37,129,5703,2812,2786,0.493073821,0.488514817,74.0720014922589,24.4543928371572,100,9.39839736283775,14.2493090700262,4.65844031151097,2.74937813449475,1.25829842212348,2.12892489041474
"26",10300,2017,321,129,454,37,129,5635,2589,2962,0.459449867,0.525643301,70.7112970711297,28.4298612640388,100,8.05664495749853,10.836906248945,4.98242632575026,2.35685194026533,0.956979015474621,2.27667601596085
"27",10300,2018,378,128,513,37,129,5902,2715,3137,0.460013555,0.531514741,73.689339310076,24.9658935879945,100,8.69182155503973,12.0493449364062,4.71437516113587,2.54272110357575,1.06406201627029,2.15436497965335
"28",10400,2010,93,140,233,37,129,2786,2372,225,0.851399856,0.080760948,39.9399399399399,60.1029601029601,100,8.3629446179247,41.3149711239449,5.90194342565659,2.44520167444391,3.63672732575503,2.69641546527079
"29",10400,2011,76,104,184,37,129,2726,2342,235,0.859134263,0.086206897,41.3362303096143,56.5453557848995,100,6.74956898132864,32.3266695023394,4.44045941676274,1.97343040715558,2.84595686293765,2.02865965587688
"30",10400,2012,58,78,137,37,129,2819,2565,190,0.909897127,0.067399787,42.3778264040846,56.9657184536834,100,4.85970699868752,30.5102577590742,3.04081712213949,1.42092351741351,2.68393486212311,1.38945227501022
"31",10400,2013,49,96,148,37,129,3033,2802,176,0.923837784,0.058028355,33.1532748143147,64.8885887913572,100,4.87949622498434,27.8250993753549,3.42600192712608,1.42681050696176,2.44692782264132,1.56568699235342
"32",10400,2014,43,77,123,37,129,3061,2789,208,0.91114015,0.06795165,35.0121852152721,62.6320064987815,100,4.01816340531182,20.6631427198462,2.76074719443548,1.17495871106921,1.81834651906921,1.26165539987278
"33",10400,2015,56,141,197,37,129,2934,2647,222,0.902181322,0.075664622,28.4627092846271,71.5880263825469,100,6.71415425513786,25.213867627195,5.32658380869631,1.96322006071491,2.2193327023224,2.4340278261732
"34",10400,2016,45,98,144,37,129,2857,2593,198,0.90759538,0.069303465,31.2977099236641,68.0777238029146,100,5.04007560113402,22.7158001009591,3.7792603447611,1.47368089675653,1.99860104172429,1.72690447077975
"35",10400,2017,42,32,74,37,129,3073,2672,214,0.869508623,0.069638789,56.8151147098516,43.3198380566802,100,2.40799192997299,19.6170014012144,1.19755997155795,0.704127981355306,1.72646802660992,0.547243871313758
